Timestamp,Battery Voltage (V),Battery Current (mA)
2026-06-25 12:20:13,3.23,30
2026-06-25 12:21:58,3.24,30
2026-06-25 12:23:31,3.23,30
2026-06-25 12:23:49,3.24,29.6
2026-06-25 12:27:22,3.23,30.4
2026-06-25 12:27:40,3.23,30.2
2026-06-25 12:29:27,3.23,0.6
2026-06-25 12:30:53,3.23,30
2026-06-25 12:32:41,3.23,30.4
2026-06-25 12:34:46,3.23,29.8
2026-06-25 12:36:17,3.21,29.6
2026-06-25 12:39:53,3.23,29.8
2026-06-25 12:41:38,3.23,29.8
2026-06-25 12:41:57,3.23,30.4
2026-06-25 12:43:23,3.23,32.2
2026-06-25 12:43:41,3.23,30
2026-06-25 12:46:54,3.23,30
2026-06-25 12:47:12,3.22,29.8
2026-06-25 12:48:42,3.23,29.4
2026-06-25 12:48:59,3.22,29.4
2026-06-25 12:50:48,3.22,30.2
2026-06-25 12:52:22,3.23,22.8
2026-06-25 12:52:40,3.22,29.4
2026-06-25 12:54:10,3.22,30
2026-06-25 12:55:54,3.21,57.4
2026-06-25 12:57:55,3.22,29.8
2026-06-25 12:59:43,3.22,47
2026-06-25 13:00:02,3.21,35.2
2026-06-25 13:00:18,3.22,45
2026-06-25 13:00:53,3.2,29.2
2026-06-25 13:01:10,3.22,30
2026-06-25 13:03:35,3.22,29.2
2026-06-25 13:05:02,3.22,29.6
2026-06-25 13:06:53,3.22,29.6
2026-06-25 13:08:59,3.22,33.6
2026-06-25 13:10:44,3.21,29.8
2026-06-25 13:12:14,3.22,29.8
2026-06-25 13:12:32,3.22,29.6
2026-06-25 13:12:49,3.21,29.2
2026-06-25 13:14:53,3.22,29.6
2026-06-25 13:15:09,3.22,30.4
2026-06-25 13:16:58,3.22,29.8
2026-06-25 13:18:28,3.21,29.4
2026-06-25 13:20:14,3.21,29.6
2026-06-25 13:20:32,3.21,29.8
2026-06-25 13:22:03,3.21,30
2026-06-25 13:22:21,3.21,29.8
2026-06-25 13:23:51,3.21,30
2026-06-25 13:24:10,3.21,30.4
2026-06-25 13:25:41,3.21,25.8
2026-06-25 13:49:40,3.2,29.4
2026-06-25 13:49:58,3.2,29.8
2026-06-25 13:52:20,3.2,29.8
2026-06-25 13:55:59,3.2,30.2
2026-06-25 13:56:16,3.19,30
2026-06-25 13:57:44,3.19,-3.6
2026-06-25 13:58:02,3.2,30
2026-06-25 13:59:31,3.2,-12.8
